"UMAP_1"	"UMAP_2"
"aMIDMSOE14RP13_3"	-1.74827388252475	0.652034485001111
"aMIDMSOE14RP13_4"	10.190810647352	0.654276334900403
"aMIDMSOE14RP13_5"	-7.15302327598788	-4.54872421060131
"aMIDMSOE14RP13_7"	-7.58327249016025	-3.1738748911433
"aMIDMSOE14RP13_8"	-8.89758637871005	-4.30629733834789
"aMIDMSOE14RP13_10"	8.86148211036466	-0.0871711138300659
"aMIDMSOE14RP13_11"	-1.0352058741019	2.13674219812825
"aMIDMSOE14RP13_12"	-1.27242926086642	3.56315066780522
"aMIDMSOE14RP13_14"	-6.57405856575229	-3.07116273675487
"aMIDMSOE14RP13_15"	8.07463308845304	-0.719599759917712
"aMIDMSOE14RP13_16"	-6.43944409813144	-5.0938959482722
"aMIDMSOE14RP13_19"	-3.96888354744174	-1.61880019937084
"aMIDMSOE14RP13_21"	-1.78107670273044	0.623597347397351
"aMIDMSOE14RP13_22"	7.09489246879361	-0.5893965128474
"aMIDMSOE14RP13_24"	-5.89741757835605	-4.12046817575023
"aMIDMSOE14RP13_28"	-7.33791974510409	-5.46747783456371
"aMIDMSOE14RP13_29"	-1.43859413589694	3.21979572739079
"aMIDMSOE14RP13_30"	-6.01079467262485	-5.56866935525463
"aMIDMSOE14RP13_32"	8.50975557838223	-0.301054036956287
"aMIDMSOE14RP13_33"	6.94462105308316	-0.398669278960681
"aMIDMSOE14RP13_34"	7.71457430396817	0.288706981796765
"aMIDMSOE14RP13_38"	-6.83534291710116	-1.74107126031444
"aMIDMSOE14RP13_39"	-4.04259446586825	-2.86194661889598
"aMIDMSOE14RP13_40"	7.81212040458463	-0.32119993005321
"aMIDMSOE14RP13_43"	-7.29023602928378	-5.37311176095531
"aMIDMSOE14RP13_45"	-6.56689599479892	-4.71092227731273
"aMIDMSOE14RP13_46"	-6.48719266380527	-5.5382547739558
"aMIDMSOE14RP13_47"	7.13897034202359	-0.183623826842761
"aMIDMSOE14RP13_48"	-6.76327613319613	-1.61430696282909
"aMIDMSOE14RP13_50"	-1.81016233886935	-0.0721245173029663
"aMIDMSOE14RP13_51"	-6.34429076637485	-5.74372772012279
"aMIDMSOE14RP13_54"	8.64198586021207	-0.771753347259021
"aMIDMSOE14RP13_55"	-5.98132804359653	-2.60087922845409
"aMIDMSOE14RP13_56"	8.3282203343942	-0.910469091277576
"aMIDMSOE14RP13_59"	-0.648031267778654	1.98972269262745
"aMIDMSOE14RP13_60"	-1.74531153167941	3.13243349756672
"aMIDMSOE14RP13_62"	5.53737780128263	-1.14901737008617
"aMIDMSOE14RP13_63"	-7.9986691805289	-4.33411220346019
"aMIDMSOE14RP13_64"	4.38297697578214	-1.12142041955516
"aMIDMSOE14RP13_65"	-6.95303634132602	-5.54017642770336
"aMIDMSOE14RP13_67"	-5.56444886650302	-5.29542068276927
"aMIDMSOE14RP13_68"	-0.53007248367526	1.74516936506703
"aMIDMSOE14RP13_69"	-1.31643894638278	3.42806061472371
"aMIDMSOE14RP13_72"	-5.60160544838168	-5.21284583840892
"aMIDMSOE14RP13_76"	-0.378585490839262	1.83280178274586
"aMIDMSOE14RP13_77"	7.49286934409879	-0.076494729857898
"aMIDMSOE14RP13_78"	-2.3450818392203	-0.441167867522693
"aMIDMSOE14RP13_79"	-6.42076257194736	-5.52272418771312
