"UMAP_1"	"UMAP_2"
"EUEE14DMSORP5_1"	-5.9481068919773	0.0937852621020856
"EUEE14DMSORP5_2"	-4.75519765125464	1.49476168155094
"EUEE14DMSORP5_3"	-2.31194437252234	0.992626404756505
"EUEE14DMSORP5_4"	-0.955834038125982	3.51853606700321
"EUEE14DMSORP5_6"	-4.37841714130591	2.05636975764652
"EUEE14DMSORP5_7"	4.11678516162682	-4.08980538845639
"EUEE14DMSORP5_8"	5.05874525798608	-4.53688099384884
"EUEE14DMSORP5_9"	-0.952683932649603	-3.44451429844479
"EUEE14DMSORP5_10"	-6.71570599781226	-0.627501392370265
"EUEE14DMSORP5_11"	2.7386127640133	2.40477869510074
"EUEE14DMSORP5_12"	-4.49670279728126	2.35183069705387
"EUEE14DMSORP5_13"	-4.45370066868018	2.15503332614322
"EUEE14DMSORP5_14"	1.18917579246808	1.36047599315067
"EUEE14DMSORP5_15"	-6.09752143131446	-0.168337488180202
"EUEE14DMSORP5_16"	2.91808699859429	2.5684926271381
"EUEE14DMSORP5_17"	-1.28528965221595	-1.93859043121914
"EUEE14DMSORP5_18"	4.40489470256616	-4.33382275105099
"EUEE14DMSORP5_19"	0.235390358102808	-1.78199463487248
"EUEE14DMSORP5_20"	2.45230674041558	-4.72799208164791
"EUEE14DMSORP5_23"	-1.94261205898475	0.102760171884495
"EUEE14DMSORP5_24"	3.33696781886865	1.75681898593326
"EUEE14DMSORP5_25"	3.41565715564538	1.47291538714786
"EUEE14DMSORP5_26"	4.74343954814721	-4.45348813534359
"EUEE14DMSORP5_27"	2.22104191077996	-4.18444087505917
"EUEE14DMSORP5_28"	2.32330226196099	1.76564905642887
"EUEE14DMSORP5_29"	4.86917030109216	-4.34577276707272
"EUEE14DMSORP5_30"	-6.13295996891212	0.455999231332737
"EUEE14DMSORP5_31"	4.35396205676843	-2.71122040749173
"EUEE14DMSORP5_32"	-3.02383912311744	3.75360867976566
"EUEE14DMSORP5_33"	0.583145700824747	3.51749274730106
"EUEE14DMSORP5_34"	-5.88821328388404	0.483522272104222
"EUEE14DMSORP5_35"	2.34293102515984	1.11510298251529
"EUEE14DMSORP5_36"	2.11681079162408	-3.52077510357479
"EUEE14DMSORP5_38"	2.73858677638818	0.0016832113208356
"EUEE14DMSORP5_39"	-5.81056082950782	0.876558279985386
"EUEE14DMSORP5_40"	-5.51205170856666	1.00921103953739
"EUEE14DMSORP5_41"	-2.70825160251807	-4.54974868298153
"EUEE14DMSORP5_42"	3.57608949435998	-2.45084919930081
"EUEE14DMSORP5_43"	2.93063008083154	-2.996602797514
"EUEE14DMSORP5_44"	1.99278735412408	-0.817080074554485
"EUEE14DMSORP5_45"	2.22737454665948	3.74408290385624
"EUEE14DMSORP5_46"	2.58252679599572	-0.807724559312862
"EUEE14DMSORP5_47"	-3.98945010410499	3.16883943080326
"EUEE14DMSORP5_48"	5.10690819515038	-3.33639814854245
"EUEE14DMSORP5_50"	1.63765709890176	0.267676091188389
"EUEE14DMSORP5_51"	-4.42202866779517	3.28718516826053
"EUEE14DMSORP5_52"	2.51143669379998	-4.85140111446957
"EUEE14DMSORP5_54"	3.09995996249963	-2.6761032581387
"EUEE14DMSORP5_55"	-2.19389856563758	-4.18244411945919
"EUEE14DMSORP5_56"	-2.91793692814063	-4.54294326305966
"EUEE14DMSORP5_57"	2.94967710269738	2.71764752864261
"EUEE14DMSORP5_58"	-1.03679288135718	-3.41778519154171
"EUEE14DMSORP5_59"	-5.30216086612891	2.01737997531314
"EUEE14DMSORP5_60"	-1.72344029651832	4.27766797541996
"EUEE14DMSORP5_61"	-2.05855739818763	4.48884294032474
"EUEE14DMSORP5_62"	3.71554099811364	-2.5911503076611
"EUEE14DMSORP5_63"	-0.717753178941717	-1.65597751141171
"EUEE14DMSORP5_65"	-5.72216952549171	-2.52827098370175
"EUEE14DMSORP5_66"	4.82200419200707	-4.39893128872494
"EUEE14DMSORP5_67"	3.6062554050808	-4.82907226086239
"EUEE14DMSORP5_68"	3.37938820613671	-2.72125353813748
"EUEE14DMSORP5_70"	-4.81842673526954	1.32823631762882
"EUEE14DMSORP5_71"	3.10647260440637	3.26352832316776
"EUEE14DMSORP5_72"	-2.24995506511878	4.34656999110599
"EUEE14DMSORP5_73"	5.1570104290371	-4.38143017292599
"EUEE14DMSORP5_74"	-1.14292467342567	-3.33864452839474
"EUEE14DMSORP5_75"	2.71540283454705	3.54351518153568
"EUEE14DMSORP5_76"	-4.31646502720069	1.9232117891254
"EUEE14DMSORP5_77"	2.70867597354699	0.729512667650181
"EUEE14DMSORP5_78"	3.97513877643395	-2.53335645199398
"EUEE14DMSORP5_79"	-5.39635241733741	1.56662223338504
"EUEE14DMSORP5_80"	-5.97091258274268	-0.0970582008419452
"EUEE14DMSORP5_82"	-2.89841831432532	0.709083294862706
"EUEE14DMSORP5_84"	2.15884136451531	-0.73129590750317
"EUEE14DMSORP5_86"	5.83467518581201	-3.80350234509091
"EUEE14DMSORP5_87"	-3.33816922413062	4.54572961329837
"EUEE14DMSORP5_88"	2.79856538070489	-2.57180716992001
"EUEE14DMSORP5_89"	-4.45481932865333	1.52651188372989
"EUEE14DMSORP5_90"	-3.56501591907691	2.53232619761844
"EUEE14DMSORP5_92"	3.15446697963525	-3.25785138607602
"EUEE14DMSORP5_93"	2.47054647697259	1.53013417720218
"EUEE14DMSORP5_94"	2.57343887580682	2.10071489810367
"EUEE14DMSORP5_95"	3.44975554240991	-4.18190457821469
"EUEE14DMSORP5_96"	-6.76295912967872	-0.521961355215114
"EUEE14DMSORP6_97"	2.04150270713616	0.37840161322971
"EUEE14DMSORP6_98"	-2.53520620571326	4.87202832698246
"EUEE14DMSORP6_99"	-2.69087923275184	4.89060924052616
"EUEE14DMSORP6_101"	-1.78964007602881	-0.933401250844997
"EUEE14DMSORP6_102"	-2.28713858829688	4.6628837346973
"EUEE14DMSORP6_103"	-4.95689976917457	1.40409801005741
"EUEE14DMSORP6_104"	2.61653184188653	3.04410836696048
"EUEE14DMSORP6_105"	-0.175124175416937	-3.29710724354367
"EUEE14DMSORP6_106"	-0.251613504755011	-3.13934876919369
"EUEE14DMSORP6_107"	2.40157698882867	-0.903036499029201
"EUEE14DMSORP6_108"	-4.41081059681129	2.41802141665836
"EUEE14DMSORP6_109"	3.33004414333154	-2.37702956200222
"EUEE14DMSORP6_110"	2.24467694057275	-0.330468916898769
"EUEE14DMSORP6_111"	-3.26935351597022	2.9558672666492
"EUEE14DMSORP6_112"	0.148332469594965	-1.86838641167263
"EUEE14DMSORP6_113"	-4.06253255115699	2.05250260829349
"EUEE14DMSORP6_114"	-2.79783023105811	4.41450355052372
"EUEE14DMSORP6_115"	4.42587196124841	-3.29237391949276
"EUEE14DMSORP6_116"	-2.66330636249732	4.36350724696537
"EUEE14DMSORP6_117"	-4.94851887928199	2.19660041331668
"EUEE14DMSORP6_118"	-4.50941670643043	3.19605205058475
"EUEE14DMSORP6_119"	-2.37394726978492	4.48405120372196
"EUEE14DMSORP6_120"	3.99354326022912	-3.72328522205929
"EUEE14DMSORP6_121"	-1.02794302211951	-3.29437866211514
"EUEE14DMSORP6_122"	-2.7412411044712	-0.45574589968304
"EUEE14DMSORP6_123"	-3.80113757358741	1.92270038127323
"EUEE14DMSORP6_124"	5.06892716182519	-4.30632236004452
"EUEE14DMSORP6_125"	2.16560494197656	0.601824259752232
"EUEE14DMSORP6_126"	-4.33407128559302	2.12284181117435
"EUEE14DMSORP6_127"	-2.54778397785377	4.36472604274173
"EUEE14DMSORP6_128"	2.84674608005334	3.13141295909305
"EUEE14DMSORP6_129"	2.31706845058251	-4.45551087856869
"EUEE14DMSORP6_131"	-4.02518761860084	2.98113725184818
"EUEE14DMSORP6_132"	2.38972400916863	-4.43076660633664
"EUEE14DMSORP6_133"	-2.97167504535865	3.8209476232471
"EUEE14DMSORP6_134"	3.64941655887414	-4.41821672916989
"EUEE14DMSORP6_135"	-5.86174691425513	0.939368462556798
"EUEE14DMSORP6_136"	3.1364444424038	-4.76621344090084
"EUEE14DMSORP6_137"	4.07852994693566	-3.1437763214169
"EUEE14DMSORP6_138"	-2.80108011470984	4.24586102961918
"EUEE14DMSORP6_140"	2.00272559417535	-2.99963035584072
"EUEE14DMSORP6_141"	2.19201289905358	-3.60771682262997
"EUEE14DMSORP6_142"	-2.52281821476172	4.73215529918094
"EUEE14DMSORP6_143"	-2.74720276104163	4.98708817958255
"EUEE14DMSORP6_144"	-5.65057147251319	-2.48182156086544
"EUEE14DMSORP6_145"	-5.68162263141822	0.702208733552891
"EUEE14DMSORP6_146"	-5.87404835926246	0.234803652757603
"EUEE14DMSORP6_147"	2.76652645362664	1.8746654748859
"EUEE14DMSORP6_149"	-4.6067606280918	1.23365614413639
